model,fold,held_out_subject,n_test,accuracy,precision,recall,f1
Random Forest,2,subject_20,16,1.0,1.0,1.0,1.0
Random Forest,3,subject_05,16,0.6875,0.6364,0.875,0.7368
Random Forest,4,subject_06,10,0.5,0.0,0.0,0.0
Random Forest,5,subject_01,2,0.5,0.0,0.0,0.0
Random Forest,6,subject_02,2,0.5,0.5,1.0,0.6667
Random Forest,7,subject_03,2,0.5,0.5,1.0,0.6667
Random Forest,8,subject_04,2,1.0,1.0,1.0,1.0
Random Forest,9,subject_07,2,1.0,1.0,1.0,1.0
Random Forest,10,subject_08,2,0.5,0.5,1.0,0.6667
Random Forest,11,subject_09,2,0.5,0.5,1.0,0.6667
Random Forest,12,subject_10,2,0.0,0.0,0.0,0.0
Random Forest,13,subject_12,2,0.5,0.5,1.0,0.6667
Random Forest,14,subject_13,2,1.0,1.0,1.0,1.0
Random Forest,15,subject_14,2,0.5,0.5,1.0,0.6667
Random Forest,16,subject_15,2,0.5,0.5,1.0,0.6667
Random Forest,17,subject_16,2,0.5,0.0,0.0,0.0
Random Forest,18,subject_17,2,0.5,0.5,1.0,0.6667
Random Forest,19,subject_18,2,0.5,0.5,1.0,0.6667
Random Forest,20,subject_19,2,0.5,0.0,0.0,0.0
Random Forest,21,subject_00,2,0.5,0.0,0.0,0.0
Random Forest,22,subject_11,1,1.0,1.0,1.0,1.0
Gradient Boosting,1,subject_21,34,0.9118,0.8889,0.9412,0.9143
Gradient Boosting,2,subject_20,16,1.0,1.0,1.0,1.0
Gradient Boosting,3,subject_05,16,0.4375,0.4444,0.5,0.4706
Gradient Boosting,4,subject_06,10,0.7,1.0,0.4,0.5714
Gradient Boosting,5,subject_01,2,0.5,0.0,0.0,0.0
Gradient Boosting,6,subject_02,2,0.5,0.5,1.0,0.6667
Gradient Boosting,7,subject_03,2,0.5,0.5,1.0,0.6667
Gradient Boosting,8,subject_04,2,1.0,1.0,1.0,1.0
Gradient Boosting,9,subject_07,2,1.0,1.0,1.0,1.0
Gradient Boosting,10,subject_08,2,1.0,1.0,1.0,1.0
Gradient Boosting,11,subject_09,2,0.0,0.0,0.0,0.0
Gradient Boosting,12,subject_10,2,0.0,0.0,0.0,0.0
Gradient Boosting,13,subject_12,2,0.5,0.5,1.0,0.6667
Gradient Boosting,14,subject_13,2,0.5,0.5,1.0,0.6667
Gradient Boosting,15,subject_14,2,0.5,0.5,1.0,0.6667
Gradient Boosting,16,subject_15,2,0.5,0.5,1.0,0.6667
Gradient Boosting,17,subject_16,2,0.5,0.0,0.0,0.0
Gradient Boosting,18,subject_17,2,0.5,0.5,1.0,0.6667
Gradient Boosting,19,subject_18,2,0.5,0.5,1.0,0.6667
Gradient Boosting,20,subject_19,2,0.5,0.0,0.0,0.0
Gradient Boosting,21,subject_00,2,0.5,0.0,0.0,0.0
Gradient Boosting,22,subject_11,1,1.0,1.0,1.0,1.0
