subject_id,session_id,label,mean,median,std,skewness,kurtosis,path_length,temporal_mean,temporal_median,temporal_std,temporal_skewness,temporal_kurtosis,temporal_path_length
subject_12,0,closed,0.1040708218632,0.09493816552010355,0.05479700974113059,1.151808332055653,2.760444786832932,0.030032878251307935,0.013359851382900396,0.011239945296556583,0.007440626856844856,0.4725537085122648,2.167422921813836,0.0049639795765436924
subject_12,0,open,0.11419374351620054,0.08815306047612281,0.08768948884322704,2.920048907458243,12.225141899534275,0.027345395839239103,0.04294734573899667,0.03024820151721117,0.04227788866379344,4.407166617962399,67.20946707814839,0.013868089163350616
subject_13,0,closed,0.06852459362088432,0.06301789327543308,0.03649407344003597,2.414864884399768,15.193171600440706,0.01652779555777451,0.006469346829568124,0.00556622598619266,0.009070127729799022,1.030562058981741,5.762596715249488,0.002301003674799622
subject_13,0,open,0.09029220228121032,0.07197486741791545,0.07181217698069978,3.289935831627176,16.205649846423118,0.019807112545877668,0.028303432460688702,0.018900963329603407,0.03269551089906087,1.2348979975183207,5.629990449501198,0.005722414605931697
subject_14,0,closed,0.8351985648303846,0.17678311349163373,1.6332423856890408,2.882204410245289,8.381721045721305,0.14226286495737583,0.9616233497144344,0.5727287519606983,1.031708233541933,0.4394432142253354,2.559429064493691,0.14567257036299064
subject_14,0,open,0.09821671988103953,0.08889740555027488,0.052662305738794005,1.0873737409871627,1.9157212619589536,0.028794758354632473,0.025597821260739163,0.027902321028594662,0.005348981848135557,0.45006884135171726,1.770788387523411,0.00229782668077642
subject_15,0,closed,0.06411046466682561,0.057553596770911174,0.037790283906315794,3.326133375406104,32.23120850032111,0.017562280685181935,0.008793888283222279,0.009285093150453132,0.009643055385553696,1.7225779394612426,15.2470198757898,0.001551598517379741
subject_15,0,open,0.2802300344915494,0.2003620623088854,0.2834387755202054,3.5166030899664427,18.109527819561155,0.03873189809165578,0.16000366022002466,0.13151165273306858,0.12324169675234413,1.393124578700622,12.075294057071853,0.021204020770811755
subject_16,0,closed,0.29643538129249314,0.25875674467049437,0.1843908600053439,0.9484938729086207,0.5650906379006297,0.10245009762487112,0.0573062490937449,0.059450084838917054,0.027375931163419055,0.27105975597841164,0.7372065666517316,0.021325619058016512
subject_16,0,open,0.27956314676522537,0.20549352587548472,0.2688010902032253,3.9473186920416117,28.586054156924007,0.07165807742508407,0.14915739774703238,0.11964789577562132,0.12402299528260438,0.5386943295129635,3.331747855621399,0.02587015333666615
subject_17,0,closed,0.073197519416456,0.06021922580756807,0.05129923145764867,2.7574194602278115,14.666647354669614,0.02291732766005426,0.014912269367694245,0.010158880686955807,0.017802311625710058,0.6338134555758226,3.8857399262244634,0.004369926776289663
