subject_id,session_id,label,mean,median,std,skewness,kurtosis,path_length
subject_06,4,closed,0.13967018320845756,0.12666185262125862,0.07533712677104029,1.2919475306209576,3.129364190249527,115.8196790615184
subject_06,4,open,0.11686043881490077,0.10952380022840129,0.05339536474286462,0.9111664150966178,1.4284332019536414,93.79738363631698
subject_06,5,closed,0.1146890973876591,0.10566023476389307,0.057920668887059594,1.1169438288126137,2.193272310520925,97.95696028631494
subject_06,5,open,0.117471357942945,0.1074781202799832,0.05672851253264711,1.1678225263161088,2.896135638544984,97.69846664122706
subject_06,6,closed,0.15580961970669718,0.13812569095141622,0.0881673878147127,1.749425517212821,6.087470328516609,121.05571353864093
subject_06,6,open,0.12545358134934545,0.11090813762056465,0.06776486602428532,1.4022454010222836,3.190312759492844,108.03063449936374
subject_06,7,closed,0.1732295450422914,0.15908516978554052,0.08861958562921098,0.93326069638825,1.5602930784114317,144.35292634834292
subject_06,7,open,0.1259480226562397,0.11483752489841813,0.06608369420488973,1.3035236751812234,3.2471304804810908,112.28291171561249
subject_06,8,closed,0.19305073031858294,0.1750641209011996,0.10142923048768676,1.0849295191501525,1.8722853114833429,168.0696375395808
subject_06,8,open,0.11472133038899449,0.10419780473043688,0.05798057252578316,0.9721490651486085,1.108061042483257,111.55240067879512
subject_06,9,closed,0.15594293084002775,0.14030638739489376,0.08392031961055456,1.2556638329506422,2.4855338411437886,136.86515630170305
subject_06,9,open,0.1353318468690046,0.12276851129629363,0.0729196129052468,1.473007637581623,4.4113559322844615,123.96224462062813
subject_06,10,closed,0.18726924282188384,0.16993885065348682,0.09604542194003678,0.9049008102659976,0.7658201642239746,166.95682655659672
subject_06,10,open,0.13546530717585303,0.12259212115856352,0.0720651780413926,1.1427062998420667,1.8025129624852907,127.31550802240388
subject_06,11,closed,0.1915116843217258,0.17142709524222635,0.10315721195531678,1.2770605695795294,2.945176231561301,167.60971008907774
subject_06,11,open,0.11628419926314655,0.10699005361745528,0.05845964048356727,1.0964613395507123,1.8860270426991121,100.6881548036781
subject_07,0,closed,0.05915038634958467,0.05428739727288353,0.03036063513992497,1.3573065106080227,3.492833116508727,56.65198540884626
subject_07,0,open,0.061909750427364255,0.05176559420515375,0.0638258591266425,10.205517732576736,159.61604988352406,62.56875608462114
subject_09,0,closed,0.18432250240634385,0.1685137827548769,0.09453258647672971,1.0586308296813498,1.874811663294179,127.00011078453969
subject_09,0,open,0.08784758808127809,0.08057551843270697,0.04396015030380414,1.264025663750485,2.5797952517393448,98.60457916671801
subject_09,1,closed,0.23880823297817227,0.21376522059978234,0.13637278204397507,1.2487212521976738,2.769578024689002,141.92381137930133
subject_09,1,open,0.08784758808127809,0.08057551843270697,0.04396015030380414,1.264025663750485,2.5797952517393448,98.60457916671801
subject_09,2,closed,0.14630594207684297,0.12283394621723805,0.09427576176785023,1.3390635500569745,2.3050731880908337,128.036629008752
subject_09,2,open,0.1465938605719572,0.1309391143806191,0.0822253917246316,1.2762730421849175,2.562195054496125,148.1116069415887
subject_09,3,closed,0.1308222301662482,0.1134279880615014,0.08337268436012207,1.7169034934420664,5.969868560209655,107.41848720646227
subject_09,3,open,0.056814273961909544,0.04940777161303862,0.033481069212265006,1.4517008827524456,3.055085869577468,74.6986997010046
subject_09,4,closed,0.1662777882156894,0.14098538546255526,0.11243415905328016,2.2069167307996636,8.345598401024619,138.93817559024689
subject_09,4,open,0.08441788708167333,0.07203806794060996,0.05235373006519359,1.4829484907682384,3.2514505743226776,112.30082833221232
subject_09,5,closed,0.14693434925161603,0.10394015313745236,0.12822863352873035,2.009323425895873,4.46949998934989,115.19038171526864
subject_09,5,open,0.07005483583199816,0.061781086518453175,0.041901489893926835,1.9882125633370986,8.043524473784814,93.81057353478852
subject_09,6,closed,0.166098342005971,0.1431078752637252,0.12423953377414122,5.054286784179865,48.61732767097151,162.76950778800943
subject_09,6,open,0.09960335929608011,0.08491674645129377,0.06462617488910948,3.5685424744163803,40.82441719752395,112.40114112910248
subject_09,7,closed,0.12423279404295284,0.11386908883575858,0.06203532561201203,0.9211091061615392,1.336539158266933,118.67304672400357
subject_09,7,open,0.07862832966825,0.0675861947760816,0.0470050552501932,1.5880017688153714,3.8454776784809974,103.61809629317924
subject_09,8,closed,0.11759003550655202,0.10667959228114787,0.06179416774218052,1.1541548323990074,2.0400752220879887,112.34494943777042
subject_09,8,open,0.08709718851436858,0.07139245984427164,0.06182643928191933,3.3247538443139217,27.88286042161041,108.26081746594264
subject_09,9,closed,0.12903595334816348,0.11841302228033668,0.06297211251455156,0.9141153657957541,0.9009954579879205,117.45938936462564
subject_09,9,open,0.07506253887667014,0.06513168755952756,0.044399007582792055,1.4182754726933748,2.6812627975516765,97.95943968981186
subject_09,10,closed,0.13028490123336187,0.12043991045611827,0.06373704449447334,1.0221713326030772,1.7208909926438238,106.13758091557861
subject_09,10,open,0.07613946255947626,0.06638139932407858,0.04379127029426973,1.3012103374837252,2.009100242899164,98.06507588522041
subject_09,11,closed,0.12512814317494658,0.11266969113267472,0.06742217450075652,1.19048224012153,2.0943060801129887,102.93208126214145
subject_09,11,open,0.08055176996079841,0.06782145632510536,0.05329296715930112,2.8232747663497393,20.577701784989134,108.52533516719664
subject_09,12,closed,0.14345375426790885,0.1335704057814652,0.06861593138306488,0.8931555247980851,1.2352437805014187,117.55547564399737
subject_09,12,open,0.07908293790714153,0.06727901522413512,0.04748690689214953,1.4348768643103225,2.4809035405336752,99.8045110151427
subject_09,13,closed,0.1315306880828869,0.12022416634325406,0.07430209179417079,2.655727088436407,18.871161547826972,107.53382795912822
subject_09,13,open,0.0795590629599745,0.06775838719510716,0.0485086235711978,1.5053408983624046,2.7226211659313764,105.16717890505782
subject_09,14,closed,0.1395670534022487,0.13056108338250172,0.07007386205380055,1.0516021770369512,2.420073172266412,113.58498041348597
